id,author,title,doi,country,indicator,tools,nature_type,exposure_type,study_design,season,n_participants,gender_group,age_group
2489,Olszewska-Guizzo 2022,Therapeutic Garden With Contemplative Features Induces Desirable Changes in Mood and Brain Activity in Depressed Adults,10.3389/fpsyt.2022.757056,Singapore,Mood,POMS,Greenspace - Garden; Greenspace - Green roof/wall,Stay static in nature,RCT - parallel,Spring; Summer; Fall,92,Female > 60%,Adults
2547,Elsadek 2019,The influence of urban roadside trees and their physical environment on stress relief measures: A field experiment in Shanghai,10.1016/j.ufug.2019.05.007,China,Anxiety; Mood; Restorative effects; subjective vitality,POMS; ROS; SVS,Greenspace - Street trees,Physical activity in nature,RCT - parallel,Spring,364,Gender Balance,Young adults
2618,Lee 2011,Effect of forest bathing on physiological and psychological responses in young Japanese male subjects,10.1016/j.puhe.2010.09.005,Japan,Mood; subjective feeling,POMS,Greenspace - Forest,Stay static in nature,RCT - parallel,Fall,12,Male > 60%,Young adults
2621,Oomen-Welke 2022,Spending Time in the Forest or the Field: Investigations on Stress Perception and Psychological Well-Being-A Randomized Cross-Over Trial in Highly Sensitive Persons,10.3390/ijerph192215322,Germany,"Anxiety; Depression; Emotional wellbeing; Fatigue, Vigor, Hostility, TMD",POMS,Greenspace - Forest,Physical activity in nature,RCT - parallel,Summer; Fall,39,Female > 60%,Adults
2745,Ibes 2022,The role of campus greenspace and meditation on college students' mood disturbance,10.1080/07448481.2020.1726926,United States,Mood,POMS,Greenspace,Stay static in nature,RCT - parallel,Spring,234,Gender Balance,Young adults
2783,Vert 2020,Physical and mental health effects of repeated short walks in a blue space environment: A randomised crossover study,10.1016/j.envres.2020.109812,Spain,"Mental wellbeing in general*; Mental distress; Affect; Anxiety; Depression; Life satisfaction; vitality, Somatisation , Fatigue, Vigour",POMS,Bluespace - Beach/coastline,Physical activity in nature,RCT - crossover,Spring; Fall,59,Female > 60%,Adults
3146,McEwan 2022,'This Is What the Colour Green Smells Like!': Urban Forest Bathing Improved Adolescent Nature Connection and Wellbeing,10.3390/ijerph192315594,UK,Anxiety,POMS,Greenspace - Forest,Stay static in nature,Uncontrolled before-after study,Summer,44,Gender Balance,Adolescents
3469,Stigsdotter 2017,It is not all bad for the grey city - A crossover study on physiological and psychological restoration in a forest and an urban environment,10.1016/j.healthplace.2017.05.007,Denmark,"Anxiety; Depression; Mood; Restorative effects; Stress; Anger-Hostility, Vigor, Fatigue, Confusion",POMS; PSS,Greenspace - Forest,Physical activity in nature,RCT - parallel,Spring; Fall,47,Female > 60%,Adults
3496,Gidlow 2016,Where to put your best foot forward: Psycho-physiological responses to walking in natural and urban environments,10.1016/j.jenvp.2015.11.003,UK,Cognitive functioning; Mood; Restorative effects,POMS; ROS,Greenspace - Park; Bluespace - Open water,Physical activity in nature,RCT - parallel,Summer; Fall,38,Gender Balance,Adults
3655,Ochiai 2015,Physiological and Psychological Effects of a Forest Therapy Program on Middle-Aged Females,10.3390/ijerph121214984,Japan,"Anxiety; Mood; fatigue, vigor",POMS,Greenspace - Forest,Physical activity in nature,Uncontrolled before-after study,Summer,17,Male > 60%,Adults
3707,Shin 2011,The influence of interaction with forest on cognitive function,10.1080/02827581.2011.585996,South Korea,"Mental distress; Anxiety; Cognitive functioning; Depression; Mood; Anger-hostility, Vigor-activity, Fatigue-inertia, Confusion-bewilderment",POMS,Greenspace - Forest,Physical activity in nature,RCT - parallel,NA,60,Gender Balance,Young adults
3863,Yoshida 2015,"Evaluation of effect of tree canopy on thermal environment, thermal sensation, and mental state",10.1016/j.uclim.2015.09.004,Japan,"Anxiety; Depression; anger-hostility, vigor, fatigue, confusion",POMS,Greenspace - Forest,Stay static in nature,Quasi-experimental study,Summer,6,Male > 60%,Young adults
